frame_size,loss,rtt,fec,protection_ratio,protection_absolute,size_bin
63,1,119,3.0,3.0,2.0,51-100
47,1,127,3.0,3.0,2.0,21-50
50,1,108,2.0,2.0,1.0,21-50
45,1,96,3.0,3.0,2.0,21-50
128,1,141,5.0,5.0,4.0,101-200
24,1,101,2.0,2.0,1.0,21-50
49,2,88,3.0,1.5,1.0,21-50
46,1,36,3.0,3.0,2.0,21-50
41,1,69,3.0,3.0,2.0,21-50
35,2,61,2.0,1.0,0.0,21-50
34,1,62,2.0,2.0,1.0,21-50
41,1,66,3.0,3.0,2.0,21-50
29,1,58,2.0,2.0,1.0,21-50
16,1,119,2.0,2.0,1.0,11-20
41,1,83,3.0,3.0,2.0,21-50
62,1,96,3.0,3.0,2.0,51-100
71,1,73,3.0,3.0,2.0,51-100
61,1,110,3.0,3.0,2.0,51-100
24,1,87,2.0,2.0,1.0,21-50
41,2,64,3.0,1.5,1.0,21-50
32,1,79,2.0,2.0,1.0,21-50
40,1,57,3.0,3.0,2.0,21-50
50,1,78,2.0,2.0,1.0,21-50
15,1,86,2.0,2.0,1.0,11-20
30,1,66,2.0,2.0,1.0,21-50
40,1,64,3.0,3.0,2.0,21-50
24,1,57,2.0,2.0,1.0,21-50
21,1,58,1.0,1.0,0.0,21-50
24,1,58,2.0,2.0,1.0,21-50
28,2,59,2.0,1.0,0.0,21-50
34,2,60,2.0,1.0,0.0,21-50
17,1,59,2.0,2.0,1.0,11-20
33,2,84,2.0,1.0,0.0,21-50
36,1,68,3.0,3.0,2.0,21-50
40,1,72,3.0,3.0,2.0,21-50
29,1,71,2.0,2.0,1.0,21-50
28,1,69,2.0,2.0,1.0,21-50
30,1,59,2.0,2.0,1.0,21-50
31,2,67,2.0,1.0,0.0,21-50
35,1,80,2.0,2.0,1.0,21-50
39,1,63,2.0,2.0,1.0,21-50
43,1,54,3.0,3.0,2.0,21-50
43,1,72,3.0,3.0,2.0,21-50
28,1,118,2.0,2.0,1.0,21-50
33,1,67,2.0,2.0,1.0,21-50
28,1,98,2.0,2.0,1.0,21-50
30,1,86,2.0,2.0,1.0,21-50
40,1,56,3.0,3.0,2.0,21-50
31,1,71,2.0,2.0,1.0,21-50
27,1,105,2.0,2.0,1.0,21-50
38,1,87,2.0,2.0,1.0,21-50
42,1,70,3.0,3.0,2.0,21-50
41,1,82,3.0,3.0,2.0,21-50
35,1,85,2.0,2.0,1.0,21-50
36,1,75,2.0,2.0,1.0,21-50
34,1,73,2.0,2.0,1.0,21-50
37,1,98,2.0,2.0,1.0,21-50
32,1,66,2.0,2.0,1.0,21-50
35,1,56,2.0,2.0,1.0,21-50
33,1,62,2.0,2.0,1.0,21-50
28,1,62,2.0,2.0,1.0,21-50
45,2,73,3.0,1.5,1.0,21-50
31,1,64,2.0,2.0,1.0,21-50
60,1,60,3.0,3.0,2.0,51-100
61,2,79,3.0,1.5,1.0,51-100
29,1,67,2.0,2.0,1.0,21-50
37,1,59,2.0,2.0,1.0,21-50
42,1,60,3.0,3.0,2.0,21-50
40,1,80,3.0,3.0,2.0,21-50
35,1,79,2.0,2.0,1.0,21-50
31,1,72,2.0,2.0,1.0,21-50
1,1,55,1.0,1.0,0.0,0-10
39,1,76,2.0,2.0,1.0,21-50
26,1,68,2.0,2.0,1.0,21-50
30,1,60,2.0,2.0,1.0,21-50
32,1,62,2.0,2.0,1.0,21-50
43,1,79,3.0,3.0,2.0,21-50
27,1,61,2.0,2.0,1.0,21-50
35,1,65,2.0,2.0,1.0,21-50
42,1,67,3.0,3.0,2.0,21-50
44,1,69,3.0,3.0,2.0,21-50
27,1,72,2.0,2.0,1.0,21-50
